Year Month Day Hour Minute Second VelocityX VelocityY Level StdError1 StdError2 StdError3 SNR1 SNR2 SNR3 SignalAmp1 SignalAmp2 SignalAmp3 Noise1 Noise2 Noise3 IceDetection Heading Pitch Roll StdDevHeading StdDevPitch StdDevRoll Temperature Pressure StdDevPressure Voltage CellBegin CellEnd Speed Direction Area Flow 
2013 01 31 17 26 46     0.0     0.0   1.824  25.5  25.5   0.0   0.0   0.0   0.0   0   0   0  28  33  27   0  332.5  -2.0   1.6  0.0  0.0  0.0  -0.23     1.9187    0.003  11.8   1.0   1.0    0.00     0.0      -1.0000       0.0000
2013 01 31 17 41 46     0.0     0.0   1.830  25.5  25.5   0.0   0.0   0.0   0.0   0   0   0  28  32  26   0  332.3  -2.4   1.6  0.0  0.0  0.0  -0.22     1.9284    0.003  11.8   1.0   1.0    0.00     0.0      -1.0000       0.0000
2013 01 31 17 56 46     0.0     0.0   1.835  25.5  25.5   0.0   0.0   0.0   0.0   0   0   0  28  33  27   0  332.3  -2.4   1.6  0.0  0.0  0.0  -0.23     1.9352    0.004  11.8   1.0   1.0    0.00     0.0      -1.0000       0.0000
2013 01 31 18 11 46     0.0     0.0   1.845  25.5  25.5   0.0   0.0   0.0   0.0   0   0   0  28  32  27   0  332.3  -2.4   1.6  0.0  0.0  0.0  -0.23     1.9445    0.003  11.8   1.0   1.0    0.00     0.0      -1.0000       0.0000
2013 01 31 18 26 46     0.0     0.0   1.850  25.5  25.5   0.0   0.0   0.0   0.0   0   0   0  28  33  27   0  332.3  -2.4   1.6  0.0  0.0  0.0  -0.23     1.9554    0.003  11.8   1.0   1.0    0.00     0.0      -1.0000       0.0000
2013 01 31 18 41 46     0.0     0.0   1.856  25.5  25.5   0.0   0.0   0.0   0.0   0   0   0  28  33  26   0  332.2  -2.4   1.6  0.0  0.0  0.0  -0.23     1.9649    0.003  11.8   1.0   1.0    0.00     0.0      -1.0000       0.0000
2013 01 31 18 56 46     0.0     0.0   1.864  25.5  25.5   0.0   0.0   0.0   0.0   0   0   0  28  33  26   0  332.0  -2.4   1.6  0.0  0.0  0.0  -0.23     1.9730    0.004  11.8   1.0   1.0    0.00     0.0      -1.0000       0.0000
2013 01 31 19 11 46     0.0     0.0   1.871  25.5  25.5   0.0   0.0   0.0   0.0   0   0   0  28  32  27   0  332.0  -2.4   1.6  0.0  0.0  0.0  -0.23     1.9821    0.003  11.8   1.0   1.0    0.00     0.0      -1.0000       0.0000
2013 01 31 19 26 46     0.0     0.0   1.879  25.5  25.5   0.0   0.0   0.0   0.0   0   0   0  28  31  27   0  331.9  -2.4   1.6  0.0  0.0  0.0  -0.23     1.9918    0.003  11.8   1.0   1.0    0.00     0.0      -1.0000       0.0000
2013 01 31 19 41 46     0.0     0.0   1.885  25.5  25.5   0.0   0.0   0.0   0.0   0   0   0  28  32  26   0  331.8  -2.4   1.6  0.0  0.0  0.0  -0.23     2.0031    0.003  11.8   1.0   1.0    0.00     0.0      -1.0000       0.0000
2013 01 31 19 56 46     0.0     0.0   1.895  25.5  25.5   0.0   0.0   0.0   0.0   0   0   0  28  33  27   0  331.7  -2.4   1.6  0.0  0.0  0.0  -0.23     2.0120    0.003  11.8   1.0   1.0    0.00     0.0      -1.0000       0.0000
2013 01 31 20 11 46     0.0     0.0   1.901  25.5  25.5   0.0   0.0   0.0   0.0   0   0   0  27  33  27   0  331.5  -2.4   1.2  0.0  0.0  0.0  -0.22     2.0211    0.003  11.8   1.0   1.0    0.00     0.0      -1.0000       0.0000
2013 01 31 20 26 46     0.0     0.0   1.909  25.5  25.5   0.0   0.0   0.0   0.0   0   0   0  29  32  29   0  331.5  -2.4   1.6  0.0  0.0  0.0  -0.23     2.0304    0.003  11.8   1.0   1.0    0.00     0.0      -1.0000       0.0000
2013 01 31 20 41 46     0.0     0.0   1.916  25.5  25.5   0.0   0.0   0.0   0.0   0   0   0  29  32  27   0  331.8  -2.4   1.6  0.0  0.0  0.0  -0.22     2.0395    0.002  11.8   1.0   1.0    0.00     0.0      -1.0000       0.0000
2013 01 31 20 56 46     0.0     0.0   1.921  25.5  25.5   0.0   0.0   0.0   0.0   0   0   0  28  32  27   0  331.8  -2.4   1.6  0.0  0.0  0.0  -0.23     2.0475    0.003  11.8   1.0   1.0    0.00     0.0      -1.0000       0.0000
2013 01 31 21 11 46     0.0     0.0   1.927  25.5  25.5   0.0   0.0   0.0   0.0   0   0   0  28  33  27   0  331.8  -2.4   1.6  0.0  0.0  0.0  -0.23     2.0564    0.003  11.8   1.0   1.0    0.00     0.0      -1.0000       0.0000
2013 01 31 21 26 46     0.0     0.0   1.932  25.5  25.5   0.0   0.0   0.0   0.0   0   0   0  27  33  27   0  332.0  -2.4   1.6  0.0  0.0  0.0  -0.22     2.0618    0.003  11.8   1.0   1.0    0.00     0.0      -1.0000       0.0000
2013 01 31 21 41 46     0.0     0.0   1.937  25.5  25.5   0.0   0.0   0.0   0.0   0   0   0  29  33  27   0  331.8  -2.4   1.6  0.0  0.0  0.0  -0.22     2.0690    0.004  11.8   1.0   1.0    0.00     0.0      -1.0000       0.0000
2013 01 31 21 56 46     0.0     0.0   1.941  25.5  25.5   0.0   0.0   0.0   0.0   0   0   0  28  33  27   0  331.8  -2.4   1.6  0.0  0.0  0.0  -0.22     2.0734    0.004  11.8   1.0   1.0    0.00     0.0      -1.0000       0.0000
2013 01 31 22 11 46     0.0     0.0   1.943  25.5  25.5   0.0   0.0   0.0   0.0   0   0   0  28  33  26   0  331.8  -2.4   1.2  0.0  0.0  0.0  -0.23     2.0775    0.003  11.8   1.0   1.0    0.00     0.0      -1.0000       0.0000
2013 01 31 22 26 46     0.0     0.0   1.946  25.5  25.5   0.0   0.0   0.0   0.0   0   0   0  28  32  28   0  331.9  -2.4   1.6  0.0  0.0  0.0  -0.23     2.0822    0.003  11.8   1.0   1.0    0.00     0.0      -1.0000       0.0000
2013 01 31 22 41 46     0.0     0.0   1.944  25.5  25.5   0.0   0.0   0.0   0.0   0   0   0  28  33  28   0  331.7  -2.4   1.2  0.0  0.0  0.0  -0.22     2.0853    0.003  11.8   1.0   1.0    0.00     0.0      -1.0000       0.0000
